time,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
0,5,4,9,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1
379,4,7,11,47,0,0,0,0,0,0,0,0,0,1,0,0,0,1
371,3,1,4,49,0,0,0,0,0,0,0,0,0,1,0,0,0,1
177,4,4,8,49,0,0,0,0,0,0,0,0,0,1,0,0,0,1
30,43,43,86,49,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3760,1,1,2,49,0,0,0,0,0,0,0,0,0,1,0,0,0,1
542,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,8,14,121,0,0,0,0,0,0,0,0,1,1,0,0,0,1
379,19,21,40,119,0,0,0,0,0,0,0,0,1,1,0,0,0,1
371,8,6,14,121,0,0,0,0,0,0,0,0,1,1,0,0,0,1
25,1,2,3,120,0,0,0,0,0,0,0,0,1,1,0,0,0,1
30,1,1,2,120,0,0,0,0,0,0,0,0,1,1,0,0,0,1
119,23,6,29,137,0,0,0,0,0,0,0,0,1,1,0,0,0,1
33,92,92,184,137,0,0,0,0,0,0,0,0,1,1,0,0,0,1
3,1,0,1,138,0,0,0,0,0,0,0,0,1,1,0,0,0,1
3757,3,3,6,138,0,0,0,0,0,0,0,0,1,1,0,0,0,1
542,0,138,138,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,4,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1
578,9,9,18,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4302,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,162,0,162,162,0,0,0,0,0,0,0,0,0,1,0,0,0,1
174,0,162,162,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,337,0,337,337,0,0,0,0,0,0,0,0,0,1,0,0,0,1
174,0,337,337,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,191,0,191,191,0,0,0,0,0,0,0,0,1,1,0,1,0,1
174,0,191,191,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,177,0,177,177,0,0,0,0,0,0,0,0,0,1,0,0,0,1
174,0,177,177,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,479,0,479,479,0,0,0,0,0,0,0,0,0,1,0,0,0,1
174,0,479,479,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1581,0,1581,1581,0,0,1,0,0,0,0,1,1,1,0,1,0,1
23,0,1581,1581,1581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,94,0,94,94,1,1,0,0,0,0,0,1,0,1,0,1,0,1
174,0,94,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,0,50,50,0,0,0,0,0,0,0,1,0,1,0,1,0,1
174,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,576,0,0,0,0,1,0,0,0,0,1,0,0,0,1
174,0,576,576,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,33,0,0,0,0,0,0,0,0,1,1,0,0,0,1
174,0,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,640,0,640,639,0,0,1,1,1,0,1,1,1,1,0,0,0,1
174,0,640,640,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,6,5,0,0,0,1,0,0,0,1,0,1,0,0,0,1
174,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,186,0,186,185,0,0,0,0,0,0,0,0,1,1,0,0,0,1
69,0,186,186,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,15,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,640,0,640,639,0,0,1,1,1,0,1,1,1,1,0,0,0,1
4340,0,640,640,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0
