time,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
0,5,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21,0,21,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,7,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,7,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,0,10,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,6,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,0,10,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1,11,12,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,6,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,4,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,0,13,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,6,15,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,3,7,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,41,0,41,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,11,16,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,0,7,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,2,8,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,19,0,19,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,6,10,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,0,13,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,3,6,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,3,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,0,16,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,5,3,8,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,41,41,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,1,12,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,0,11,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,31,32,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,4,16,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,11,0,11,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,29,0,29,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,6,6,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,3,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,1,6,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,5,10,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,9,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,9,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,4,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,2,8,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,4,18,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
